recipe_id,ingredient_id,ingredient_index,qty_value,unit,portion_factor,ingredient_line_raw,parse_status,review_reason
2,36,14,,,1.0,3 bay leaves,ok,
3,135,1,,,1.0,3 lb (1.4 kg) chicken (any cut),ok,
3,591,2,,,1.0,1 tbsp (3 g) dried thyme,ok,
3,253,3,,,1.0,1 tsp garlic powder,ok,
3,133,4,,,1.0,1 chicken bouillon cube,ok,
3,526,5,,,1.0,"Salt and black pepper, as needed",review,mixed_seasoning;contains_conjunction
3,615,6,,,1.0,"1½ cups (360 ml) vegetable oil, divided",ok,
3,514,7,,,1.0,"4 medium Roma tomatoes, roughly chopped",ok,
3,438,8,,,1.0,"1 (28-oz [784-g]) can whole peeled plum tomatoes, drained",ok,
3,489,9,,,1.0,"1 large red bell pepper, roughly chopped",ok,
3,280,10,,,1.0,2 small habanero chiles,ok,
3,399,11,,,1.0,"1 medium onion, thinly sliced",ok,
3,598,12,,,1.0,2 tbsp (32 g) tomato paste,ok,
3,134,13,,,1.0,1 cup (240 ml) chicken stock,ok,
3,591,14,,,1.0,1½ tsp (2 g) dried thyme,ok,
3,388,15,,,1.0,1 tbsp (8 g) Nigerian red pepper or cayenne pepper,review,long_base_phrase;contains_conjunction
3,15,16,,,1.0,1 tsp all-purpose seasoning,ok,
3,35,18,,,1.0,1 bay leaf,ok,
4,140,1,,,1.0,"1½ lb (680 g) chicken breasts, cut into 2-inch (6-cm) pieces",ok,
4,522,2,,,1.0,"1 tbsp (15 g) salt, plus more to taste",ok,
4,63,3,,,1.0,"1 tsp black pepper, plus more to taste",ok,
4,399,4,,,1.0,"1 small onion, thickly sliced",ok,
4,625,5,,,1.0,3 cups (720 ml) water,ok,
4,615,6,,,1.0,¼ cup (60 ml) vegetable oil,ok,
4,597,7,,,1.0,"2 medium tomatoes, roughly chopped",ok,
4,399,8,,,1.0,"1 medium onion, roughly chopped, divided",ok,
4,254,9,,,1.0,"3 to 4 cloves garlic, whole",ok,
4,414,10,,,1.0,2 to 3 tbsp (6 to 9 g) dried parsley,ok,
4,411,11,,,1.0,1 tsp smoked paprika,ok,
4,127,12,,,1.0,1 tbsp (8 g) cayenne pepper,ok,
4,639,13,,,1.0,½ tsp white pepper,ok,
4,519,14,,,1.0,"¾ lb (340 g) russet potatoes, roughly chopped",ok,
4,120,15,,,1.0,"¼ lb (113 g) carrots, roughly chopped",ok,
4,556,16,,,1.0,½ cup (90 g) smooth peanut butter,ok,
4,280,17,,,1.0,"1 small habanero chile, diced",ok,
5,49,1,,,1.0,1½ lb (680 g) beef stew meat,ok,
5,526,2,,,1.0,"Salt and black pepper, as needed",review,mixed_seasoning;contains_conjunction
5,591,3,,,1.0,1 tbsp (3 g) dried thyme,ok,
5,399,4,,,1.0,"1 small onion, roughly chopped",ok,
5,625,5,,,1.0,1 cup (240 ml) water,ok,
5,40,6,,,1.0,6 cups (1.4 L) beef stock,ok,
5,212,7,,,1.0,"4 cups (600 g) egusi melon seeds, ground",ok,
5,399,8,,,1.0,"1 large onion, roughly chopped",ok,
5,282,9,,,1.0,"2 small habanero chiles, stems removed",ok,
5,409,10,,,1.0,¾ cup (180 ml) palm oil,ok,
5,58,11,,,1.0,"4 tbsp (85 g) bitter leaf, washed",ok,
5,562,12,,,1.0,6 cups (180 g) roughly chopped spinach,ok,
5,191,13,,,1.0,3 tbsp (18 g) ground crayfish,ok,
5,387,14,,,1.0,1 tbsp (8 g) Nigerian red pepper,ok,
5,245,15,,,1.0,"Fufu , for serving",ok,
6,85,1,,,1.0,"4 boneless, skinless chicken breasts",ok,
6,142,2,,,1.0,4 chicken drumsticks,ok,
6,399,3,,,1.0,4 cups (460 g) sliced onions,ok,
6,333,4,,,1.0,⅓ cup (80 ml) fresh lemon juice,ok,
6,522,5,,,1.0,1 tsp salt,ok,
6,63,6,,,1.0,½ tsp black pepper,ok,
6,281,7,,,1.0,"1 small habanero chile, seeded and minced",review,contains_conjunction
6,423,8,,,1.0,1½ tbsp (23 ml) peanut oil,ok,
6,134,9,,,1.0,1½ cups (360 g) chicken stock,ok,
6,430,10,,,1.0,½ cup (75 g) pimento-stuffed olives,ok,
6,625,11,,,1.0,½ cup (120 ml) water,ok,
6,205,12,,,1.0,1 tbsp (16 g) Dijon mustard,ok,
6,508,13,,,1.0,"Rice, for serving",ok,
7,616,1,,,1.0,"Vegetable oil, as needed",ok,
7,17,2,,,1.0,¼ cup (43 g) roasted almonds,ok,
7,128,3,,,1.0,2 tbsp (16 g) cayenne pepper or Nigerian red pepper,review,long_base_phrase;contains_conjunction
7,411,4,,,1.0,2 tsp (6 g) smoked paprika,ok,
7,253,5,,,1.0,1 tbsp (8 g) garlic powder,ok,
7,400,6,,,1.0,1 tbsp (8 g) onion powder,ok,
7,639,7,,,1.0,1 tbsp (8 g) white pepper,ok,
7,133,8,,,1.0,1 chicken bouillon cube,ok,
7,522,9,,,1.0,"Salt, to taste",ok,
