fdc_id,g_per_ml,source_portion
2706140,0.5833,"1 cup, cooked, diced"
2706141,0.5833,"1 cup, diced, cooked"
2706142,0.5833,"1 cup, cooked, diced"
2706143,0.5833,"1 cup, diced, cooked"
2706144,0.5833,"1 cup, cooked, diced"
2706145,0.5833,"1 cup, diced, cooked"
2706146,0.5833,"1 cup, cooked, diced"
2706147,0.5833,"1 cup, diced, cooked"
2706148,0.5833,"1 cup, diced, cooked"
2706149,0.5625,"1 cup, diced, cooked"
2706150,0.5625,"1 cup, diced, cooked"
2706151,1.0,1 tablespoon
2706152,1.0,1 tablespoon
2706153,0.5208,1 cup
2706154,0.5833,1 cup
2706155,0.875,1 cup
2706156,0.6042,1 cup
2706157,0.5833,1 cup
2706159,0.5833,1 cup
2706162,0.5833,1 cup
2706163,0.5208,1 cup
2706164,0.5833,1 cup
2706165,0.6042,1 cup
2706166,0.625,"1 cup, sliced"
2706167,0.625,"1 cup, sliced"
2706168,0.625,"1 cup, sliced"
2706169,0.625,"1 cup, sliced"
2706170,0.625,"1 cup, sliced"
2706171,0.575,"1 cup, NFS"
2706172,0.575,"1 cup, NFS"
2706173,0.575,"1 cup, NFS"
2706174,0.9154,1 cubic inch
2706175,0.5833,"1 cup, NFS"
2706176,0.5833,"1 cup, pieces"
2706177,0.5833,"1 cup, pieces"
2706178,0.5833,"1 cup, pieces"
2706179,0.5833,"1 cup, NFS"
2706180,0.5833,"1 cup, diced"
2706181,1.0374,1 cubic inch
2706183,0.5833,"1 cup, pieces"
2706184,0.5833,"1 cup, pieces"
2706185,0.5833,"1 cup, NFS"
2706186,0.5833,"1 cup, NFS"
2706187,0.5833,"1 cup, NFS"
2706188,0.575,"1 cup, NFS"
2706189,0.575,"1 cup, NFS"
2706190,0.575,"1 cup, NFS"
2706191,0.575,"1 cup, NFS"
2706192,0.575,"1 cup, NFS"
2706193,0.575,"1 cup, NFS"
2706194,0.575,"1 cup, NFS"
2706195,0.5833,1 cup
2706196,0.5833,1 cup
2706197,0.5833,1 cup
2706198,1.0496,1 cubic inch
