recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
60,409,12,1,60 ml,? cup
60,613,13,1,360 ml,
60,593,14,1,30 g,1 cup
61,397,1,1,30 ml,2 tablespoon
61,399,2,1,,2 medium
61,543,3,1,,2 medium
61,251,4,1,,4 cloves
61,613,5,1,960 ml,4 cups
61,427,6,1,45 ml,3 tablespoon
61,422,7,1,270 g,
61,598,8,1,20 g,2 tablespoon
61,127,9,1,,1 teaspoon
61,120,10,1,,2 medium
61,394,11,1,99 g,1 cup
61,593,12,1,60 g,2 cups
61,522,13,1,,
64,615,1,1,15 to 30 ml,
64,399,2,1,,3 medium
64,597,3,1,,4 large
64,251,4,1,,? teaspoon
64,525,5,1,,
64,100,6,1,,
64,634,7,1,,
64,278,8,1,,
64,313,9,1,12-oz [336-g],
65,10,1,1,250 g,2 cups
65,523,2,1,,? teaspoon
65,625,3,1,120 ml,? cup
65,616,4,1,240 ml,1 cup
65,39,5,1,450 g,
65,64,6,1,,
65,251,7,1,,2 cloves
65,260,8,1,,? teaspoon
65,543,9,1,,3 small
65,497,10,1,,? medium
65,209,11,1,,6 large
66,580,1,1,450 g,
66,77,2,1,,
66,10,3,1,125 g,1 cup
66,209,4,1,,1 large
66,99,5,1,58 g,? cup
66,522,6,1,,
66,616,7,1,,
127,500,1,1,,2 large
127,581,2,1,,
127,498,3,1,,
127,132,4,1,,
127,289,5,1,,1 tablespoon
127,397,6,1,,1 tablespoon
127,538,7,1,,
128,440,1,1,,
128,497,2,1,,
128,163,3,1,,
128,251,4,1,,
128,494,5,1,,
128,492,6,1,,
128,614,7,1,,
128,397,8,1,,2 tablespoon
128,399,9,1,,
128,565,10,1,,
128,132,11,1,,
129,68,1,1,,
129,552,2,1,,
129,236,3,1,,
129,399,4,1,,1 large
129,251,5,1,,
129,163,6,1,,
129,154,7,1,,1 teaspoon
129,596,8,1,,
129,600,9,1,,2 tablespoon
129,46,10,1,,
129,564,11,1,,
129,534,12,1,,
129,511,13,1,,
129,524,14,1,,
131,138,1,1,,
131,399,2,1,,
131,120,3,1,,
131,129,4,1,,
131,255,5,1,,
131,182,6,1,,2 tablespoon
131,199,7,1,,1 tablespoon
131,162,8,1,,
131,118,9,1,,
